TimeStamp,RAW-ENG,MIN-ENG,MAX-ENG,RAW-VAL,MIN-VAL,MAX-VAL,RAW-MED,MIN-MED,MAX-MED,RAW-FRU,MIN-FRU,MAX-FRU,RAW-FOC,MIN-FOC,MAX-FOC,RAW-EXC,MIN-EXC,MAX-EXC,MarkerRange,MarkerType,MarkerTitle
1472085689.082,2.979512,2.582639,3.620272,0.961398,0.593762,1.139144,-1.153352,-4.870454,-0.668357,-1.607421,-4.105651,1.705449,6.353963,6.023208,8.817683,-4.851179,-5.224877,-2.822074,0.0,0.0,0.0
1472085689.582,1.348009,1.240959,1.514488,1.336076,1.172124,2.221318,-1.474456,-2.407698,0.547447,1.975404,1.030922,2.589258,-1.623696,-3.861528,2.676283,-3.979992,-5.240504,-3.907691,0.0,0.0,0.0
1472085690.082,0.869258,-0.555383,1.196131,-0.159786,-0.828510,0.993182,9.001614,7.509407,9.083973,2.344847,0.095277,3.544936,1.681919,0.598309,1.962734,-1.690280,-2.261578,0.575632,0.0,0.0,0.0
1472085690.582,-1.386891,-2.357966,-0.799501,4.425941,4.309933,5.678602,-1.481322,-2.151023,0.477829,1.373620,0.610980,1.502363,-3.604097,-3.617093,-3.580123,-0.952916,-1.198820,-0.324679,0.0,0.0,0.0
1472085691.082,2.060176,-0.267790,6.756732,-3.492032,-3.921950,-3.016015,0.752638,-1.460992,1.782623,-6.146837,-6.426762,-6.070558,-1.637919,-1.929627,-0.061991,2.750333,2.258523,2.781142,0.0,0.0,0.0
1472085691.582,-1.626338,-3.173360,-1.574960,-0.517373,-1.271626,-0.184282,-4.526785,-4.945359,-4.050513,2.070361,1.562699,3.056922,3.033765,1.724982,4.793464,-2.949141,-3.002763,-2.045483,0.0,0.0,0.0
1472085692.082,0.603456,-0.676438,1.780424,-0.373634,-0.429808,3.015164,-1.931843,-1.969207,-1.272230,-0.448661,-1.169743,-0.178808,-0.205359,-0.223570,0.440922,-0.361912,-0.491425,0.612019,0.0,0.0,0.0
1472085692.582,-1.297573,-1.604944,-1.179898,-0.857294,-1.140504,-0.674126,3.685088,3.224458,3.883299,1.172399,-0.519323,1.426945,-3.032153,-3.369662,-2.873436,0.626195,0.058141,0.678190,0.0,0.0,0.0
1472085693.082,1.207592,0.837145,1.236607,-5.453377,-5.645023,-4.566032,0.433381,0.417379,0.728399,-1.057662,-2.677951,-0.196269,-1.927064,-2.503704,-1.926214,-1.273433,-2.868495,-0.738785,0.0,0.0,0.0
1472085693.582,-1.993105,-3.941017,-1.521075,-2.231242,-2.480997,-2.152495,-0.065822,-3.350027,1.466428,-2.441682,-3.818891,-2.023055,2.425943,2.200866,3.164145,1.117552,1.038742,2.414968,0.0,0.0,0.0
1472085694.082,-0.133886,-0.171482,1.275287,0.115000,-1.001731,1.216742,4.892835,4.712041,6.172651,1.595046,-1.270134,4.216986,6.809617,4.169009,8.435551,-2.241063,-2.565828,-1.822485,0.0,0.0,0.0
1472085694.582,-0.252342,-0.469276,1.371362,2.770379,0.944799,2.913690,-3.381341,-3.439163,-2.686465,6.134381,4.322448,6.322430,1.010984,-1.921498,1.079240,-0.016720,-1.897743,1.462380,0.0,0.0,0.0
1472085695.082,-0.231339,-0.803828,2.696842,2.959518,1.185014,4.047215,-1.980974,-2.917031,-1.942676,3.346883,2.916873,5.709952,0.474405,-0.190073,1.239511,2.230119,1.604753,3.483099,0.0,0.0,0.0
1472085695.582,-5.571211,-6.296115,-5.169596,3.965982,3.017925,4.858685,0.940677,0.305475,1.475806,-0.439309,-0.447761,-0.354607,-2.589203,-3.861267,-2.224097,2.456691,1.907880,3.018257,0.0,0.0,0.0
1472085696.082,0.667018,-0.601630,3.745793,1.915409,1.781751,5.750630,-3.157004,-3.872807,-2.887961,-0.029074,-0.062657,0.113490,-0.600536,-3.715481,0.635566,-4.892263,-5.339466,-4.840477,0.0,0.0,0.0
1472085696.582,-1.656167,-1.745880,-1.320927,-2.238512,-2.739464,-2.229173,-2.163438,-2.444787,-1.329507,1.325956,0.076762,2.358476,7.798369,7.336046,8.738386,5.433327,3.903884,7.292350,0.0,0.0,0.0
1472085697.082,-1.712055,-2.090292,-1.701066,-0.696116,-1.415957,1.803102,-3.112216,-3.606965,-2.968144,3.016002,1.712380,4.537189,2.631585,2.573610,2.877804,-2.466640,-3.000260,-0.113976,0.0,0.0,0.0
1472085697.582,-6.013830,-6.429441,-4.323789,3.008629,2.278960,3.120784,1.060295,0.077235,3.462123,-3.848897,-5.174981,-2.703228,1.378507,-1.040785,2.409914,1.667138,-1.832978,1.668474,0.0,0.0,0.0
1472085698.082,-1.384926,-3.226957,-0.152344,-5.468495,-5.530007,-4.670778,-1.994556,-2.719307,-1.109035,-0.610938,-0.929533,-0.154237,-4.926716,-5.084526,-4.805604,4.018926,3.667515,6.260032,0.0,0.0,0.0
1472085698.582,-2.403620,-2.497689,-0.746647,-0.501314,-2.075634,-0.272574,2.217680,0.629461,2.897528,-4.492009,-4.656640,-4.454219,-2.464830,-3.310032,-1.909665,1.330476,1.329900,3.613230,0.0,0.0,0.0
1472085699.082,0.703006,-0.156152,1.073360,3.402142,3.391800,4.476704,1.118226,0.576219,1.277792,0.798431,0.631247,1.093803,3.545691,2.527711,3.677218,-0.111187,-1.354697,-0.110387,0.0,0.0,0.0
1472085699.582,4.696632,4.300333,5.935810,4.465116,2.067682,4.694770,-1.323109,-2.045070,-0.580979,6.020807,4.105331,6.142686,2.034393,1.105768,2.081878,0.973348,-0.370721,1.132900,0.0,0.0,0.0
1472085700.082,-3.938932,-4.361117,-2.543136,6.389063,5.355424,6.546432,3.072351,2.909362,4.506274,-1.748144,-2.605032,-1.201300,0.180972,-2.338212,0.312580,-1.133293,-1.248719,-0.931494,0.0,0.0,0.0
1472085700.582,-4.266783,-4.467100,-3.231049,-1.446963,-1.496017,-1.156373,3.099242,1.530937,5.481933,-4.406414,-5.333583,-3.149963,-3.814735,-4.381652,-2.842704,2.543839,2.034693,2.768332,0.0,0.0,0.0
1472085701.082,-3.888669,-7.115040,-3.744136,0.403516,-0.713871,1.084324,-2.585822,-3.760525,-2.212130,-1.468578,-2.420101,-0.987549,-5.405328,-6.213142,-4.295743,-0.428364,-4.130866,0.506846,0.0,0.0,0.0
1472085701.582,-3.656573,-4.054158,-3.297747,2.403389,2.353154,4.618773,-1.061010,-2.406014,2.052422,4.128093,2.832695,8.296269,-0.641995,-0.804597,0.175933,2.084164,0.467006,2.866810,0.0,0.0,0.0
1472085702.082,-0.997261,-4.235051,0.565704,3.838439,3.312760,4.779841,-2.535183,-4.532452,-2.314008,1.544346,-2.044359,5.232559,-3.833030,-4.690330,-3.822147,0.095919,-0.114517,1.899111,0.0,0.0,0.0
1472085702.582,-0.053276,-0.325460,0.133277,5.388765,4.678338,6.008502,3.444326,3.033753,3.583998,-2.654224,-2.974178,-2.376678,-1.021102,-1.337307,-1.014072,-3.865128,-4.482648,-3.123944,0.0,0.0,0.0
1472085703.082,5.380378,4.152703,5.905521,-2.324606,-2.549687,-1.611860,-4.025473,-4.163956,-4.002393,-2.842967,-3.889234,-2.229161,-0.149897,-0.200679,-0.017099,2.416114,1.668096,2.632611,0.0,0.0,0.0
1472085703.582,2.178056,0.875489,3.004845,1.507101,0.157400,2.253040,4.536514,0.911126,6.639335,-2.996049,-3.467298,-2.599990,6.080974,3.179033,6.207117,-1.892183,-2.329040,-1.554300,0.0,0.0,0.0
1472085704.082,-1.040635,-1.949744,-1.024556,-1.366729,-2.144454,0.174460,-0.943651,-1.417610,-0.572622,-1.288289,-1.573219,-0.600640,-0.485300,-0.625537,0.206159,2.882254,1.717246,5.328998,0.0,0.0,0.0
1472085704.582,2.138700,1.966563,2.590142,-5.740626,-6.429445,-3.884865,0.359169,-0.161277,2.781015,-2.556662,-4.612534,-1.992105,3.306523,-0.645112,3.523700,0.069920,-3.255294,0.162184,0.0,0.0,0.0
1472085705.082,-1.088661,-1.787583,0.263552,3.408395,2.781508,3.907212,-2.534509,-2.988723,-2.283940,-0.235106,-1.313273,1.173365,-0.136241,-2.107912,0.627019,-3.185709,-6.509155,-2.595208,0.0,0.0,0.0
